5001,56,"وَحُورٌ عِينٌۭ","And [with them will be their] companions pure, most beautiful of eye,","Dan ada bidadari-bidadari bermata jeli,",22,27
5002,56,"كَأَمْثَٰلِ ٱللُّؤْلُؤِ ٱلْمَكْنُونِ","like unto pearls [still] hidden in their shells.","laksana mutiara yang tersimpan baik.",23,27
5003,56,"جَزَآءًۢ بِمَا كَانُوا۟ يَعْمَلُونَ","[And this will be] a reward for what they did [in life].","Sebagai balasan bagi apa yang telah mereka kerjakan.",24,27
5004,56,"لَا يَسْمَعُونَ فِيهَا لَغْوًۭا وَلَا تَأْثِيمًا","No empty talk will they hear there, nor any call to sin,","Mereka tidak mendengar di dalamnya perkataan yang sia-sia dan tidak pula perkataan yang menimbulkan dosa,",25,27
5005,56,"إِلَّا قِيلًۭا سَلَٰمًۭا سَلَٰمًۭا","but only the tiding of inner soundness and peace.","akan tetapi mereka mendengar ucapan salam.",26,27
5006,56,"وَأَصْحَٰبُ ٱلْيَمِينِ مَآ أَصْحَٰبُ ٱلْيَمِينِ","NOW AS FOR those who have attained to righteous­ness - what of those who have attained to righteous­ness?","Dan golongan kanan, alangkah bahagianya golongan kanan itu.",27,27
5007,56,"فِى سِدْرٍۢ مَّخْضُودٍۢ","[They, too, will find themselves] amidst fruit- laden lote-trees,","Berada di antara pohon bidara yang tak berduri,",28,27
5008,56,"وَطَلْحٍۢ مَّنضُودٍۢ","and acacias flower-clad,","dan pohon pisang yang bersusun-susun (buahnya),",29,27
5009,56,"وَظِلٍّۢ مَّمْدُودٍۢ","and shade extended,","dan naungan yang terbentang luas,",30,27
5010,56,"وَمَآءٍۢ مَّسْكُوبٍۢ","and waters gushing,","dan air yang tercurah,",31,27
5011,56,"وَفَٰكِهَةٍۢ كَثِيرَةٍۢ","and fruit abounding,","dan buah-buahan yang banyak,",32,27
5012,56,"لَّا مَقْطُوعَةٍۢ وَلَا مَمْنُوعَةٍۢ","never-failing and never out of reach.","yang tidak berhenti (berbuah) dan tidak terlarang mengambilnya.",33,27
5013,56,"وَفُرُشٍۢ مَّرْفُوعَةٍ","And [with them will be their] spouses, raised high:","dan kasur-kasur yang tebal lagi empuk.",34,27
5014,56,"إِنَّآ أَنشَأْنَٰهُنَّ إِنشَآءًۭ","for, behold, We shall have brought them into being in a life renewed,","Sesungguhnya Kami menciptakan mereka (bidadari-bidadari) dengan langsung",35,27
5015,56,"فَجَعَلْنَٰهُنَّ أَبْكَارًا","having resurrected them as virgins,","dan Kami jadikan mereka gadis-gadis perawan.",36,27
5016,56,"عُرُبًا أَتْرَابًۭا","full of love, well-matched","penuh cinta lagi sebaya umurnya.",37,27
5017,56,"لِّأَصْحَٰبِ ٱلْيَمِينِ","with those who have attained to righteousness:","(Kami ciptakan mereka) untuk golongan kanan,",38,27
5018,56,"ثُلَّةٌۭ مِّنَ ٱلْأَوَّلِينَ","a good many of olden times,","(yaitu) segolongan besar dari orang-orang yang terdahulu.",39,27
5019,56,"وَثُلَّةٌۭ مِّنَ ٱلْءَاخِرِينَ","and a good many of later times.","dan segolongan besar pula dari orang-orang yang kemudian.",40,27
5020,56,"وَأَصْحَٰبُ ٱلشِّمَالِ مَآ أَصْحَٰبُ ٱلشِّمَالِ","BUT AS FOR those who have persevered in evil - what of those who have persevered in evil?","Dan golongan kiri, siapakah golongan kiri itu?",41,27
5021,56,"فِى سَمُومٍۢ وَحَمِيمٍۢ","[They will find themselves] in the midst of scorching winds, and burning despair,","Dalam (siksaan) angin yang amat panas, dan air panas yang mendidih,",42,27
5022,56,"وَظِلٍّۢ مِّن يَحْمُومٍۢ","and the shadows of black smoke -","dan dalam naungan asap yang hitam.",43,27
5023,56,"لَّا بَارِدٍۢ وَلَا كَرِيمٍ","[shadows] neither cooling nor soothing.","Tidak sejuk dan tidak menyenangkan.",44,27
5024,56,"إِنَّهُمْ كَانُوا۟ قَبْلَ ذَٰلِكَ مُتْرَفِينَ","For, behold, in times gone by they were wont to abandon themselves wholly to the pursuit of pleasures,","Sesungguhnya mereka sebelum itu hidup bermewahan.",45,27
5025,56,"وَكَانُوا۟ يُصِرُّونَ عَلَى ٱلْحِنثِ ٱلْعَظِيمِ","and would persist in heinous sinning,","Dan mereka terus-menerus mengerjakan dosa besar.",46,27
